サイト,所在地,価格(万円),土地面積(㎡),坪単価(万円/坪),地目,都市計画,再建築可否,再建築理由,検出日,フラグ,詳細URL,判定
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡清水町長沢,1680,185.3,30.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_20582088/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡清水町徳倉,1700,394.3,14.3,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_75450316/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡長泉町本宿642-1,1780,278.2,21.2,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_20924084/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡清水町柿田,1780,247.2,23.8,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_20069626/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡清水町湯川,1840,143.5,42.4,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_20847413/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡清水町徳倉,1980,567.1,11.5,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_20864087/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡長泉町下長窪,1980,149.2,43.9,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_77248226/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡清水町玉川,1980,165.3,39.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_78282556/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡清水町徳倉,2200,337.0,21.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_75886069/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡長泉町南一色,2200,181.0,40.2,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_78818854/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡清水町堂庭字大宿54-1他,2680,165.6,53.5,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_78760593/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡長泉町下長窪,2790,183.1,50.4,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_79192212/,不適合
